iter	RMSE
0	1.063284296
1	1.019421409
2	0.9818765809
3	0.9486530019
4	0.9191907892
5	0.8941702599
6	0.8721614068
7	0.852963744
8	0.8357010463
9	0.8202432519
10	0.8052159213
11	0.793156661
12	0.7812549458
13	0.7707624036
14	0.761729991
15	0.7539895019
16	0.7467494624
17	0.7395887342
18	0.7332320187
19	0.7280542472
20	0.7228761071
21	0.7179616312
22	0.7139891155
23	0.7105110542
24	0.7067604693
25	0.7035205904
26	0.7007996306
27	0.6981039175
28	0.6951259575
29	0.6921543001
30	0.6894364204
31	0.6871610643
32	0.6846732957
33	0.6819437214
34	0.6792939918
35	0.6776276418
36	0.6755693775
37	0.6735914808
38	0.6719426605
39	0.6700388217
40	0.6685601609
41	0.6662640354
42	0.664645383
43	0.6634793201
44	0.6622283396
45	0.6607785037
46	0.6593323159
47	0.6576778997
48	0.6563414276
49	0.6543928568
50	0.6532074486
51	0.6516354686
52	0.6492844545
53	0.648535809
54	0.6471658804
55	0.6451980959
56	0.6438167511
57	0.6424786476
58	0.6414705266
59	0.640582093
60	0.639839068
61	0.6391227792
62	0.6374749757
63	0.6367630704
64	0.6354711712
65	0.6347020279
66	0.6337019596
67	0.6330320428
68	0.6321401841
69	0.6311551259
70	0.6301559201
71	0.6289608527
72	0.6280149063
73	0.627081339
74	0.6263881853
75	0.625538976
76	0.6249003534
77	0.6238062871
78	0.6231651179
79	0.622202676
80	0.6205169055
81	0.6198834036
82	0.618953598
83	0.6177488561
84	0.6171812787
85	0.6166528855
86	0.6156005845
87	0.6146681652
88	0.6138610635
89	0.6128496552
90	0.6120853795
91	0.6110030707
92	0.610552046
93	0.6093931086
94	0.6086421414
95	0.6081175051
96	0.6073437696
97	0.606772619
98	0.6062384853
99	0.6054256282
100	0.6047139301
101	0.6042689163
102	0.6039458774
103	0.603018266
104	0.6026104793
105	0.6019215335
106	0.6012719862
107	0.6005809996
108	0.6001327
109	0.5996440567
110	0.5992414047
111	0.5987124233
112	0.5979865049
113	0.597582764
114	0.5966934785
115	0.5960802268
116	0.5951900658
117	0.5947980222
118	0.5942924988
119	0.5937717744
120	0.5934758962
121	0.5931779432
122	0.5924059896
123	0.5919816474
124	0.5915218184
125	0.5907717215
126	0.5903074363
127	0.5898041122
128	0.5892603718
129	0.5887758797
130	0.58827612
131	0.5876377276
132	0.5873494888
133	0.5870010285
134	0.5866354647
135	0.5860543778
136	0.5855212812
137	0.5852239849
138	0.5848968225
139	0.5843084389
140	0.5840570847
141	0.5837684064
142	0.5833577216
143	0.5826944656
144	0.5823906492
145	0.5820250199
146	0.5815834297
147	0.5811746847
148	0.5808105141
149	0.5803425701
150	0.5800806827
151	0.5798523978
152	0.5795028359
153	0.5792559656
154	0.5785656488
155	0.5782065528
156	0.5777064422
157	0.5774184764
158	0.5771318561
159	0.5767715958
160	0.5764875624
161	0.576064373
162	0.5756656661
163	0.5752474631
164	0.5749481465
165	0.5745120487
166	0.5741932785
167	0.5739627857
168	0.5736646956
169	0.5732053388
170	0.5727768605
171	0.572381047
172	0.5718622632
173	0.5715121137
174	0.5711634218
175	0.5709589929
176	0.5703363015
177	0.5700361643
178	0.5698137858
179	0.5695308827
180	0.5692817547
181	0.5689945894
182	0.5686771375
183	0.5683401117
184	0.5679874327
185	0.5677294991
186	0.5674785673
187	0.5671705999
188	0.5668534888
189	0.5666037054
190	0.5662339214
191	0.5659503038
192	0.5655998414
193	0.5653822908
194	0.5651517901
195	0.564975809
196	0.5647393055
197	0.5644780204
198	0.5641720799
199	0.5639122253
200	0.5634353549
201	0.5632118489
202	0.5629602914
203	0.5625877345
204	0.5623627305
205	0.5622279807
206	0.561989813
207	0.5617442779
208	0.561585448
209	0.5611735185
210	0.5609691952
211	0.5607285378
212	0.5602680936
213	0.5600398755
214	0.5597889875
215	0.5595127395
216	0.5591834127
217	0.5588451892
218	0.5586095075
219	0.5583740718
220	0.558223532
221	0.5578507378
222	0.5576209814
223	0.5573669665
224	0.5572176708
225	0.5570279362
226	0.5567909843
227	0.5564254349
228	0.5561860594
229	0.5557969693
230	0.5555399313
231	0.5552512084
232	0.5549071053
233	0.5546562124
234	0.5545614847
235	0.5542274233
236	0.5540445122
237	0.5538262409
238	0.5535760491
239	0.5533650479
240	0.5532488813
241	0.5530180196
242	0.5528151647
243	0.5526433593
244	0.5524999563
245	0.5522404988
246	0.5518368294
247	0.5516761331
248	0.5513290542
249	0.5510421971
250	0.5509097894
251	0.5507505206
252	0.5505603108
253	0.5501962532
254	0.5499997539
255	0.5497767148
256	0.5495721315
257	0.5492037981
258	0.548942834
259	0.5486918307
260	0.5483520639
261	0.5481083373
262	0.5479331561
263	0.5477592129
264	0.547505716
265	0.5473391111
266	0.547105242
267	0.5468884105
268	0.546625355
269	0.5464495368
270	0.5461826929
271	0.5459207616
272	0.5457372902
273	0.5454647274
274	0.5452041704
275	0.5450148725
276	0.5446046524
277	0.5444196705
278	0.5442807167
279	0.5439819305
280	0.5437821234
281	0.5434011685
282	0.5431086735
283	0.5428745589
284	0.5427968666
285	0.5424743119
286	0.5422601621
287	0.5420949452
288	0.5419083687
289	0.5415672794
290	0.5414246918
291	0.5411339552
292	0.5407942148
293	0.5406046238
294	0.5403584291
295	0.5400787408
296	0.5399636885
297	0.5397953078
298	0.539622474
299	0.5394732501
300	0.5392377894
301	0.5390525705
302	0.5388463895
303	0.5386530413
304	0.5384722377
305	0.5383414529
306	0.5381165612
307	0.5379416147
308	0.5378078487
309	0.5376614602
310	0.5374739374
311	0.5372340252
312	0.5371083132
313	0.536910557
314	0.5367137434
315	0.536527056
316	0.5363257206
317	0.5361610827
318	0.5360214004
319	0.5358512504
320	0.5356934849
321	0.5354077385
322	0.5351756061
323	0.5349182258
324	0.5347020114
325	0.5345044472
326	0.5342693202
327	0.5340105271
328	0.533750405
329	0.5336554273
330	0.5334230824
331	0.5332622498
332	0.5331142572
333	0.533020704
334	0.5327564507
335	0.532646361
336	0.5324366947
337	0.5324037147
338	0.5322285248
339	0.5320974145
340	0.5319812691
341	0.5317704008
342	0.5316066517
343	0.531323962
344	0.531097983
345	0.5310699148
346	0.5308866258
347	0.5306929631
348	0.5305169028
349	0.5303553387
350	0.5302407746
351	0.5301840778
352	0.5300166493
353	0.5298551032
354	0.529784199
355	0.529582842
356	0.5293905542
357	0.5292349565
358	0.5290311331
359	0.528855291
360	0.5286922704
361	0.5284805802
362	0.5282728996
363	0.5282594358
364	0.5280913149
365	0.5279485183
366	0.5278593801
367	0.5278093731
368	0.5277083911
369	0.5275360417
370	0.527300123
371	0.5271465278
372	0.526909264
373	0.5267041802
374	0.5265063385
375	0.5263388565
376	0.5261241313
377	0.5259746384
378	0.5258504007
379	0.5256814404
380	0.5254454734
381	0.5253422982
382	0.5252175957
383	0.5251526744
384	0.5250715729
385	0.5249427128
386	0.5246322516
387	0.5244925362
388	0.5243057614
389	0.524136336
390	0.5239428926
391	0.5237662239
392	0.5234817904
393	0.5233477615
394	0.5230897862
395	0.5229281354
396	0.5228594653
397	0.522654156
398	0.5225371009
399	0.5224195578
400	0.5223271639
401	0.5221688894
402	0.5219554948
403	0.5218575103
404	0.5217700748
405	0.5216334292
406	0.5214168159
407	0.5212083194
408	0.5210783867
409	0.5209365508
410	0.5208091567
411	0.5207088442
412	0.5205703781
413	0.5204252333
414	0.5202283867
415	0.5202131708
416	0.5200925371
417	0.5199349767
418	0.5197325364
419	0.5196594755
420	0.5195317496
421	0.5195210896
422	0.519266023
423	0.5190863686
424	0.5190025756
425	0.5188812715
426	0.5187008897
427	0.5186142615
428	0.5184635148
429	0.518364825
430	0.5182152026
431	0.5180220046
432	0.5178298836
433	0.5177230191
434	0.5174867241
435	0.5173722681
436	0.5172491921
437	0.5171118769
438	0.5169600879
439	0.5168101466
440	0.5166873478
441	0.5166311618
442	0.5164894413
443	0.5163816195
444	0.5162382409
445	0.5160510954
446	0.5159661808
447	0.5158343056
448	0.5157768046
449	0.5156635987
450	0.51560278
451	0.515474295
452	0.5154308933
453	0.5152264272
454	0.5151639492
455	0.5150268723
456	0.5149541776
457	0.5148096573
458	0.514673784
459	0.5145144724
460	0.514341927
461	0.5142468015
462	0.5140085337
463	0.5138090533
464	0.5136919409
465	0.5135991852
466	0.5133989516
467	0.5133735665
468	0.513221588
469	0.5132074869
470	0.513101174
471	0.5130285925
472	0.5128915695
473	0.5127531771
474	0.512631222
475	0.512558074
476	0.5123776471
477	0.5122634237
478	0.5121675628
479	0.5120217934
480	0.5117885025
481	0.5116520787
482	0.5114998006
483	0.5113734698
484	0.5112177491
485	0.5110629259
486	0.5109340825
487	0.5108156482
488	0.5106727545
489	0.5105764036
490	0.5104155518
491	0.5103099566
492	0.5102392854
493	0.5101996652
494	0.5100382249
495	0.5098729529
496	0.5098000886
497	0.5096391101
498	0.5095737577
499	0.5094904517
500	0.5093540822
501	0.5092689444
502	0.509154004
503	0.5090467628
504	0.5089029606
505	0.5087744072
506	0.5086610956
507	0.5085986482
508	0.508524578
509	0.508479847
510	0.5083765118
511	0.5082066167
512	0.5081006098
513	0.507977206
514	0.5078208019
515	0.5077580399
516	0.5076385009
517	0.5075114693
518	0.507363435
519	0.5072522161
520	0.507144812
521	0.5071288496
522	0.5069909451
523	0.506899046
524	0.5067064813
525	0.5065661941
526	0.506464161
527	0.5064017029
528	0.5062675165
529	0.5061664091
530	0.5060154739
531	0.5059296806
532	0.5058114377
533	0.5056811495
534	0.5056046009
535	0.5054580677
536	0.5052996805
537	0.5051526357
538	0.5050368873
539	0.5049768411
540	0.5048349549
541	0.5047210356
542	0.5046190792
543	0.5045086788
544	0.5043994829
545	0.5043022901
546	0.5042401995
547	0.5041808047
548	0.5040592599
549	0.5038612582
550	0.5037499378
551	0.5036764836
552	0.5035326561
553	0.503458641
554	0.5033766651
555	0.50330892
556	0.5032049031
557	0.5031006507
558	0.503023146
559	0.502879243
560	0.5027520933
561	0.5026566931
562	0.5025824806
563	0.5024846059
564	0.5023524605
565	0.5021669505
566	0.5020786079
567	0.5019479222
568	0.5017380693
569	0.5016532559
570	0.5015631221
571	0.5014907437
572	0.501418954
573	0.5013213393
574	0.5012487122
575	0.5011219491
576	0.5010765402
577	0.5009473377
578	0.5008280682
579	0.5007613254
580	0.5006617392
581	0.5005786885
582	0.5004791123
583	0.5003643444
584	0.500275165
585	0.5001822112
586	0.5000767926
587	0.4999906336
588	0.4998474723
589	0.4998303141
590	0.499731208
591	0.4996277463
592	0.499531921
593	0.4994086792
594	0.4993480107
595	0.4992205681
596	0.4991399837
597	0.4990754418
598	0.4989245359
599	0.4988386448
600	0.4986979908
601	0.4986273314
602	0.4984924509
603	0.4983984678
604	0.4983135662
605	0.4982425789
606	0.4981154299
607	0.4980124544
608	0.4978829953
609	0.4978604811
610	0.4977716693
611	0.4976766078
612	0.497599133
613	0.4974587421
614	0.4973833977
615	0.4972230381
616	0.4971404011
617	0.4970538684
618	0.4969395222
619	0.496785131
620	0.4966734831
621	0.4966375544
622	0.4965319925
623	0.4964564229
624	0.4963492893
625	0.4962495776
626	0.4962115067
627	0.4960769972
628	0.496002106
629	0.4958456868
630	0.4957218496
631	0.4955860608
632	0.4955236935
633	0.4953878682
634	0.4953218034
635	0.4952213091
636	0.4951145338
637	0.4950306679
638	0.494928797
639	0.4947681944
640	0.4946673891
641	0.4946520279
642	0.4945646844
643	0.4944769417
644	0.4943546698
645	0.4943080364
646	0.4942665733
647	0.4941956045
648	0.4941422313
649	0.493996932
650	0.4939202878
651	0.4938394841
652	0.4937957978
653	0.493702423
654	0.4936230369
655	0.4934949881
656	0.4934425219
657	0.4933520173
658	0.4932750724
659	0.4931718352
660	0.4931269664
661	0.4930961928
662	0.4929678269
663	0.492891788
664	0.4927855678
665	0.4927397615
666	0.4926653527
667	0.4925812391
668	0.4924821411
669	0.492451688
670	0.4923593798
671	0.4923350313
672	0.4922781339
673	0.4922056289
674	0.4921364126
675	0.49208992
676	0.4919724447
677	0.4918747295
678	0.4917917885
679	0.4916694043
680	0.4916242071
681	0.4915381516
682	0.4914380041
683	0.491282531
684	0.4912024482
685	0.4911231597
686	0.4910940326
687	0.4909178297
688	0.4908319249
689	0.4907309022
690	0.490646943
691	0.4905429974
692	0.4904262746
693	0.4903166445
694	0.4902768971
695	0.4900966723
696	0.4899864781
697	0.4899115551
698	0.4898405153
699	0.4898031548
700	0.4897397404
701	0.489682604
702	0.4896006225
703	0.4894943169
704	0.4893988537
705	0.4893743797
706	0.4893566839
707	0.489321938
708	0.4892335147
709	0.4892161464
710	0.4891571686
711	0.4891071393
712	0.4889930747
713	0.4889245286
714	0.4887841481
715	0.4887176648
716	0.4886228398
717	0.4885248079
718	0.4884981401
719	0.4884016536
720	0.4882780526
721	0.4882069559
722	0.4881061082
723	0.4880279959
724	0.4878940746
725	0.4878460464
726	0.4878069437
727	0.4877295706
728	0.4876367866
729	0.4875274777
730	0.4874412306
