iter	Passed	Remaining
0	29	38350
1	58	38039
2	87	37681
3	116	37599
4	144	37531
5	174	37660
6	205	37985
7	233	37769
8	263	37749
9	291	37636
10	321	37627
11	349	37488
12	377	37375
13	405	37257
14	434	37248
15	463	37177
16	491	37079
17	520	37049
18	549	37037
19	577	36934
20	605	36890
21	633	36801
22	661	36732
23	693	36869
24	723	36880
25	751	36818
26	779	36754
27	807	36699
28	837	36714
29	868	36757
30	899	36801
31	928	36778
32	958	36817
33	987	36783
34	1016	36752
35	1044	36667
36	1072	36602
37	1101	36569
38	1129	36508
39	1158	36494
40	1190	36568
41	1221	36588
42	1252	36599
43	1280	36542
44	1308	36486
45	1336	36436
46	1365	36407
47	1393	36348
48	1421	36300
49	1450	36252
50	1478	36206
51	1506	36167
52	1535	36124
53	1563	36066
54	1592	36054
55	1622	36040
56	1649	35978
57	1678	35941
58	1708	35937
59	1737	35912
60	1765	35854
61	1793	35817
62	1823	35799
63	1850	35746
64	1878	35699
65	1906	35643
66	1934	35597
67	1963	35578
68	1991	35535
69	2020	35509
70	2050	35485
71	2078	35452
72	2106	35410
73	2135	35387
74	2163	35338
75	2194	35334
76	2224	35330
77	2252	35286
78	2281	35259
79	2309	35220
80	2338	35196
81	2367	35165
82	2395	35118
83	2423	35086
84	2452	35053
85	2481	35022
86	2510	35005
87	2538	34963
88	2566	34924
89	2595	34891
90	2623	34849
91	2651	34821
92	2680	34789
93	2713	34812
94	2743	34803
95	2771	34759
96	2800	34734
97	2829	34705
98	2859	34687
99	2887	34647
100	2917	34628
101	2948	34632
102	2976	34589
103	3004	34554
104	3032	34514
105	3061	34486
106	3091	34463
107	3119	34425
108	3146	34383
109	3177	34373
110	3205	34335
111	3237	34344
112	3266	34309
113	3293	34265
114	3321	34228
115	3350	34193
116	3378	34155
117	3407	34130
118	3436	34102
119	3466	34083
120	3494	34052
121	3522	34012
122	3552	33990
123	3580	33957
124	3609	33931
125	3638	33900
126	3666	33869
127	3695	33835
128	3724	33810
129	3755	33800
130	3785	33776
131	3813	33742
132	3841	33708
133	3870	33679
134	3899	33654
135	3929	33635
136	3960	33618
137	3988	33580
138	4015	33541
139	4044	33510
140	4072	33478
141	4101	33449
142	4130	33419
143	4158	33385
144	4187	33359
145	4215	33319
146	4247	33313
147	4276	33284
148	4305	33256
149	4335	33238
150	4365	33218
151	4394	33186
152	4422	33154
153	4451	33122
154	4479	33091
155	4508	33062
156	4537	33033
157	4567	33010
158	4595	32978
159	4624	32946
160	4653	32920
161	4681	32887
162	4710	32856
163	4743	32857
164	4772	32830
165	4802	32808
166	4831	32778
167	4859	32746
168	4889	32719
169	4917	32685
170	4946	32660
171	4975	32626
172	5003	32597
173	5033	32569
174	5061	32535
175	5090	32507
176	5119	32480
177	5148	32451
178	5176	32419
179	5205	32390
180	5236	32373
181	5266	32353
182	5294	32318
183	5323	32285
184	5352	32259
185	5381	32230
186	5409	32197
187	5438	32170
188	5468	32144
189	5497	32114
190	5526	32086
191	5554	32053
192	5582	32019
193	5610	31988
194	5639	31955
195	5668	31927
196	5696	31896
197	5725	31864
198	5758	31858
199	5787	31829
200	5815	31797
201	5844	31766
202	5872	31734
203	5901	31708
204	5932	31690
205	5961	31661
206	5991	31635
207	6019	31602
208	6048	31571
209	6076	31538
210	6104	31507
211	6134	31482
212	6164	31459
213	6192	31426
214	6220	31391
215	6255	31394
216	6285	31368
217	6313	31336
218	6342	31305
219	6370	31275
220	6399	31246
221	6428	31215
222	6456	31182
223	6484	31151
224	6514	31123
225	6541	31087
226	6571	31061
227	6600	31032
228	6627	30995
229	6656	30965
230	6684	30933
231	6712	30900
232	6744	30884
233	6776	30868
234	6805	30841
235	6833	30808
236	6861	30775
237	6889	30743
238	6919	30719
239	6949	30692
240	6977	30660
241	7005	30627
242	7034	30599
243	7062	30565
244	7090	30533
245	7119	30502
246	7147	30471
247	7176	30442
248	7204	30410
249	7233	30380
250	7265	30364
251	7296	30342
252	7325	30314
253	7353	30283
254	7382	30254
255	7411	30225
256	7439	30193
257	7470	30171
258	7500	30144
259	7528	30114
260	7556	30080
261	7583	30046
262	7611	30013
263	7640	29981
264	7668	29949
265	7697	29920
266	7726	29891
267	7755	29863
268	7789	29854
269	7817	29823
270	7846	29792
271	7873	29758
272	7904	29734
273	7934	29710
274	7962	29676
275	7990	29646
276	8018	29614
277	8047	29583
278	8075	29550
279	8102	29517
280	8132	29491
281	8160	29459
282	8189	29430
283	8218	29400
284	8246	29370
285	8277	29347
286	8307	29323
287	8336	29293
288	8365	29264
289	8393	29233
290	8422	29205
291	8451	29176
292	8480	29146
293	8508	29113
294	8538	29087
295	8567	29058
296	8596	29032
297	8626	29005
298	8656	28979
299	8685	28950
300	8714	28921
301	8742	28891
302	8771	28862
303	8803	28843
304	8833	28818
305	8862	28789
306	8891	28759
307	8921	28734
308	8949	28701
309	8977	28671
310	9005	28638
311	9034	28610
312	9063	28580
313	9092	28550
314	9120	28520
315	9149	28489
316	9177	28460
317	9205	28427
318	9233	28394
319	9263	28370
320	9297	28354
321	9326	28325
322	9354	28296
323	9383	28266
324	9411	28235
325	9440	28205
326	9469	28178
327	9498	28147
328	9527	28118
329	9555	28087
330	9583	28056
331	9612	28026
332	9640	27996
333	9669	27966
334	9699	27941
335	9727	27909
336	9755	27877
337	9785	27851
338	9816	27828
339	9844	27797
340	9872	27765
341	9903	27742
342	9932	27713
343	9962	27685
344	9990	27653
345	10018	27622
346	10046	27591
347	10074	27559
348	10104	27532
349	10133	27503
350	10161	27473
351	10189	27442
352	10218	27412
353	10246	27382
354	10275	27352
355	10309	27336
356	10338	27307
357	10366	27276
358	10394	27247
359	10424	27219
360	10454	27192
361	10483	27164
362	10512	27134
363	10540	27104
364	10570	27077
365	10599	27048
366	10627	27018
367	10655	26985
368	10682	26953
369	10712	26925
370	10740	26894
371	10769	26865
372	10801	26845
373	10833	26823
374	10862	26794
375	10893	26769
376	10923	26743
377	10951	26713
378	10979	26681
379	11007	26649
380	11037	26623
381	11065	26590
382	11093	26559
383	11122	26531
384	11150	26501
385	11179	26472
386	11209	26444
387	11238	26416
388	11268	26390
389	11297	26360
390	11329	26339
391	11360	26313
392	11388	26282
393	11417	26254
394	11446	26226
395	11475	26197
396	11505	26169
397	11534	26140
398	11562	26109
399	11590	26079
400	11619	26049
401	11646	26016
402	11674	25985
403	11702	25954
404	11731	25924
405	11761	25897
406	11788	25865
407	11821	25844
408	11851	25818
409	11881	25792
410	11913	25769
411	11943	25741
412	11972	25713
413	12001	25684
414	12030	25655
415	12052	25612
416	12081	25582
417	12109	25552
418	12139	25524
419	12168	25496
420	12197	25466
421	12225	25436
422	12254	25407
423	12283	25377
424	12312	25349
425	12343	25324
426	12372	25295
427	12402	25268
428	12430	25238
429	12459	25209
430	12487	25178
431	12517	25151
432	12546	25121
433	12574	25090
434	12602	25060
435	12631	25031
436	12659	24999
437	12689	24972
438	12717	24941
439	12745	24911
440	12774	24881
441	12802	24851
442	12834	24829
443	12865	24804
444	12895	24776
445	12923	24745
446	12952	24717
447	12980	24686
448	13008	24655
449	13036	24623
450	13065	24595
451	13093	24565
452	13123	24537
453	13151	24506
454	13179	24476
455	13207	24445
456	13236	24416
457	13265	24387
458	13294	24359
459	13324	24332
460	13357	24309
461	13386	24281
462	13416	24253
463	13444	24223
464	13473	24194
465	13502	24164
466	13531	24136
467	13559	24105
468	13588	24076
469	13615	24044
470	13644	24016
471	13672	23985
472	13700	23953
473	13728	23923
474	13757	23894
475	13786	23865
476	13815	23836
477	13845	23809
478	13877	23786
479	13906	23757
480	13935	23728
481	13964	23698
482	13993	23670
483	14021	23640
484	14050	23611
485	14079	23582
486	14107	23551
487	14135	23520
488	14163	23490
489	14193	23462
490	14222	23433
491	14251	23404
492	14279	23374
493	14307	23343
494	14337	23317
495	14369	23292
496	14398	23263
497	14428	23236
498	14456	23206
499	14485	23176
500	14513	23146
501	14542	23116
502	14570	23086
503	14599	23057
504	14629	23030
505	14657	23000
506	14686	22971
507	14714	22940
508	14742	22910
509	14771	22880
510	14799	22850
511	14828	22821
512	14861	22798
513	14891	22771
514	14920	22742
515	14947	22710
516	14975	22679
517	15004	22650
518	15032	22621
519	15061	22592
520	15091	22564
521	15120	22535
522	15149	22507
523	15177	22476
524	15205	22446
525	15235	22418
526	15263	22388
527	15293	22360
528	15321	22330
529	15352	22303
530	15384	22280
531	15413	22250
532	15443	22223
533	15471	22193
534	15501	22165
535	15531	22137
536	15560	22109
537	15589	22080
538	15619	22052
539	15647	22022
540	15675	21991
541	15705	21964
542	15735	21937
543	15765	21909
544	15793	21878
545	15822	21849
546	15851	21821
547	15885	21798
548	15915	21771
549	15944	21742
550	15973	21713
551	16003	21685
552	16031	21656
553	16060	21626
554	16089	21597
555	16118	21568
556	16147	21539
557	16175	21509
558	16204	21480
559	16232	21450
560	16261	21420
561	16289	21391
562	16317	21360
563	16346	21331
564	16378	21306
565	16409	21279
566	16437	21249
567	16466	21221
568	16495	21191
569	16523	21161
570	16551	21131
571	16579	21101
572	16609	21073
573	16637	21043
574	16665	21013
575	16693	20982
576	16722	20953
577	16751	20924
578	16779	20895
579	16808	20865
580	16837	20836
581	16866	20808
582	16900	20784
583	16928	20755
584	16957	20725
585	16985	20695
586	17013	20665
587	17042	20636
588	17071	20607
589	17101	20579
590	17128	20548
591	17158	20520
592	17186	20490
593	17215	20461
594	17243	20431
595	17272	20402
596	17301	20373
597	17328	20342
598	17357	20313
599	17388	20287
600	17419	20259
601	17447	20230
